name,person_key,inat_login,is_expert,alt_spellings,note
Caleb A. Lankford,clankford,clankford,false,Caleb,WSDA lab determiner (16k determinations); login per Peter 2026-08-12
Karen W. Wright,karen_wright,karen_wright,false,Karen,login via recordedBy match in occurrences
Karla Salp,swisschick,swisschick,true,,iNat expert roster member; login also via recordedBy match
Ingrid Carmean,ingridcarmean,ingridcarmean,false,,login via recordedBy match in occurrences
Ellery Newcomer,mylodon,mylodon,false,,login via recordedBy match in occurrences
Peter Abrahamsen,rainhead,rainhead,false,,project lead; login via recordedBy match; not on the iNat expert roster
Joel D. Gardner,chloralictus,chloralictus,false,Joel Gardner,login via recordedBy match in occurrences
Ben Lee,ben10101,ben10101,true,King Chak Lee,iNat expert roster member; determines in Ecdysis as King Chak Lee (identity confirmed by Peter 2026-08-12 via email address); collects as Ben Lee (recordedBy match)
Lisa Robinson,wenatcheeb,wenatcheeb,false,Lisa Robsinson,login via recordedBy match; Robsinson is a typo (1 row)
Michael O'Loughlin,molfamily,molfamily,false,,login via recordedBy match in occurrences
Lincoln R. Best,beesofcanada,beesofcanada,false,Lincoln,login via recordedBy match in occurrences
Nathan M.D. Green,nmdg,nmdg,true,,iNat expert roster member (roster comment: Nathaniel Green)
August S. Jackson,augustjackson,augustjackson,true,,iNat expert roster member
Aidan Hersh,a_hershey,a_hershey,true,,iNat expert roster member; login also via recordedBy match
Lisa M. Brain,lisa-m-brain,,false,,no iNat login evidence
Terry L. Griswold,terry-l-griswold,,false,,no iNat login evidence
Michael R. Bush,michael-r-bush,,false,,no iNat login evidence
Erin Dunbar,eds_scienceftw,eds_scienceftw,false,,login via recordedBy match in occurrences
Jason Williams,bugs_and_coding,bugs_and_coding,false,,login via recordedBy match in occurrences
William Peterman,beesearch_will,beesearch_will,false,Will Peterman,login via recordedBy match (as Will Peterman)
Alex Wilson,alexwilson5,alexwilson5,false,,login via recordedBy match in occurrences
Benjamin R. Diehl,benjamin-r-diehl,,false,Benjamin K. Diehl,K. appears once vs R. 11x — presumed typo; no iNat login evidence
Jason Gibbs,jason-gibbs,,false,,no iNat login evidence
Chanda S. Bartholomew,csbutrfly12,csbutrfly12,true,,iNat expert roster member
Joe D. Engler,joe-d-engler,,false,,no iNat login evidence
Carol Yamada,vanjinbo,vanjinbo,false,,login via recordedBy match in occurrences
Mary C. Powers,mary-c-powers,,false,,no iNat login evidence
Norman Rasmussen,normrazz,normrazz,false,,login via recordedBy match in occurrences
Anne Bulger,annebulger,annebulger,false,,login via recordedBy match in occurrences
Kyle Roslund,kyle_roslund,kyle_roslund,false,,login via recordedBy match in occurrences
Josh Milnes,josh-milnes,,false,,no iNat login evidence
John S. Ascher,johnascher,johnascher,true,,iNat expert roster member; no Ecdysis determinations
Jade Lyf,lyfisgrand,lyfisgrand,true,,iNat expert roster member; no Ecdysis determinations
Xian Zhou,xianzx,xianzx,true,,iNat expert roster member; no Ecdysis determinations
Michelle Orcutt,morcutt,morcutt,true,,iNat expert roster member; no Ecdysis determinations
Domingo Zungri,domingozungri,domingozungri,true,,iNat expert roster member; no Ecdysis determinations
Henry Steig,hsteig,hsteig,true,,iNat expert roster member; no Ecdysis determinations
Makarii Loskutov,makarii_loskutov,makarii_loskutov,true,,iNat expert roster member; no Ecdysis determinations
Frank Hogland,frankhogland,frankhogland,true,,iNat expert roster member; no Ecdysis determinations
Trevor Sless,trevorsless,trevorsless,true,,iNat expert roster member; no Ecdysis determinations
Susanna Heideman,susanna_h,susanna_h,true,,iNat expert roster member; no Ecdysis determinations
Anatole Maugendre,umt,umt,true,,iNat expert roster member; no Ecdysis determinations
Zach Portman,zportman,zportman,true,,iNat expert roster member; no Ecdysis determinations
,hadel,hadel,true,,iNat expert roster member; name not yet known
Christopher Wilson,cgwilson,cgwilson,true,,expert per Peter 2026-08-18; name from iNat profile
